"","ID","time","PEG-9 (mol/L)","PEG-8 (mol/L)","PEG-7 (mol/L)","PEG-6 (mol/L)","PEG-5 (mol/L)","PEG-4 (mol/L)","PEG-3 (mol/L)","DEG (mol/L)","EG (mol/L)","Acetaldehyde (mol/L)","Acetate (mol/L)","CH4 (mol-gas)"
"816",10,82.5,2.34225085179481e-15,6.98921664974414e-14,7.60673062824761e-13,4.51674167789377e-12,1.70870891530529e-11,4.44073030712091e-11,8.20339383387213e-11,0.000146081937648859,7.48490153611852e-11,2.5961283296676e-11,2.67988800454764e-06,1474482.20240976
"817",10,85,5.64101682211056e-16,1.61245700419901e-14,1.71279334090857e-13,1.0002305796225e-12,3.73917900426035e-12,9.63645476046238e-12,1.77010333794585e-11,0.000103106488493361,1.61738869937098e-11,5.61921234259997e-12,2.35030254451427e-06,1484347.62604648
"818",10,90,3.30698935053533e-17,8.73109298079562e-16,8.86926890972909e-15,5.0265366005416e-14,1.84003022881762e-13,4.67327131541682e-13,8.5008378566953e-13,5.12167566628671e-05,7.78765422540427e-13,2.7133515145449e-13,1.85149442355763e-06,1501841.77628309
"819",10,95,1.96631207983168e-18,4.83560055354983e-17,4.71962723379653e-16,2.60535890433593e-15,9.36628596469294e-15,2.34947576891214e-14,4.23875127057089e-14,2.54205637624157e-05,3.89214932222979e-14,1.35933032469736e-14,1.49584502120877e-06,1516881.19753201
"820",10,100,1.18572971368733e-19,2.73788892554915e-18,2.57818151548388e-17,1.39041519523935e-16,4.91990469740954e-16,1.22088044719118e-15,2.18700841361097e-15,1.26328386491987e-05,2.01239921100294e-15,7.04268386003492e-16,1.23055178371032e-06,1529935.75106528
"821",11,0,0.00806170142326306,0.00240205797509471,0.000460668652757889,3.29049037684207e-05,0,0,0,0,0,0,0,0
"822",11,0.25,0.0080038962171784,0.00240544488291883,0.000480517241071223,6.07289697731188e-05,6.23573233558188e-06,4.77868564487464e-07,3.01537989696667e-08,1.87577143274108e-09,4.91245048024852e-05,8.60266868416621e-05,2.83807451200874e-05,987.795117066462
"823",11,0.5,0.00794603618349903,0.00240879883101233,0.000499682910174489,8.5988693984644e-05,1.45379721545758e-05,2.01873792381964e-06,2.39380650197412e-07,2.98150896905852e-08,0.000105975351679488,0.000114082549357302,5.09361242503964e-05,3983.45770076851
"824",11,1,0.00783010071706215,0.00241540958707411,0.000536171982616386,0.000130666284805143,3.44955682776328e-05,8.255078154791e-06,1.77165118891902e-06,4.48848226358054e-07,0.000163724227482759,0.00013271929783119,8.19242749060229e-05,14988.6279968169
"825",11,2,0.00759724517877374,0.00242823979451926,0.000602873269733587,0.000204143702237725,7.83287152669364e-05,2.97037959036823e-05,1.07299104667292e-05,5.70972843694826e-06,0.000201520368862551,0.000152320086453772,0.000120885540063003,53645.8276730141
"826",11,3,0.00736291998089642,0.0024405358293183,0.000662762834191706,0.000264159028431538,0.000120676146313334,5.64797123718584e-05,2.60062465793094e-05,2.16083243129157e-05,0.00022646474661552,0.000170113082649236,0.000139525818669358,109909.46221791
"827",11,4,0.00712696165810718,0.00245227710904375,0.000717191172061529,0.00031549480426158,0.000159563122881553,8.4055158473556e-05,4.42806450102484e-05,5.02689724980746e-05,0.000249108447439536,0.000186249954237814,0.000135341404680947,175968.219063322
"828",11,5,0.00688923051197608,0.00246343657856106,0.000767124276673612,0.000360703378747771,0.000194959227615629,0.0001106064074589,6.3240619843528e-05,9.07084032347605e-05,0.000269574686670606,0.00020047047055791,0.000118642497130984,243051.20402054
"829",11,6,0.00664961138431262,0.00247398029371284,0.000813278337982306,0.000401313612403102,0.000227251683563532,0.000135528150657142,8.17152273984364e-05,0.000140704208180307,0.000288046946704295,0.000212869298144568,0.000103739560617714,306322.094528987
"830",11,7,0.00640801230223736,0.00248386698441359,0.000856199625522757,0.000438317187268942,0.000256869966075084,0.000158706943893777,9.92064992844897e-05,0.000197897733089634,0.000304806216497875,0.000223673393406726,9.35589181392667e-05,364940.023801242
"831",11,8,0.00616436261990085,0.00249304746628119,0.000896314450231725,0.000472396142189085,0.000284195051130251,0.000180216805526508,0.00011555238668802,0.000260227017377065,0.000320139340424522,0.00023312551646061,8.61135942093246e-05,419321.222253658
"832",11,9,0.00591861157284369,0.00250146381975266,0.000933961729923459,0.000504041093789877,0.000309545044227358,0.000200194780738024,0.000130746557437388,0.000326033630230381,0.000334311942752683,0.000241442073573805,8.00823900202026e-05,469960.498270651
"833",11,10,0.00567072754883942,0.00250904828415314,0.000969414948262438,0.000533617678229684,0.000333180983928255,0.000218790511704259,0.000144849791326308,0.000394041651479479,0.000347550127053019,0.000248803414786931,7.49462142098968e-05,517282.266982397
"834",11,11,0.00542069814527837,0.0025157218134693,0.00100289738423476,0.000561406256718931,0.000355316681217223,0.000236146527785754,0.000157947726127505,0.000463296879243356,0.000360036671531694,0.00025535581057021,7.04806579222082e-05,561652.355549352
"835",11,12,0.00516853103080945,0.00252139222427727,0.00103459291949202,0.000587626845663093,0.000376128027479177,0.000252391442739816,0.000170131166841647,0.000533101441859089,0.000371915911920182,0.000261216654062159,6.65598467143522e-05,603388.932991653
"836",11,13,0.00491425564898204,0.00252595183981833,0.00106465384484747,0.00061245541783237,0.000395760709056779,0.00026763855233536,0.000181487288391577,0.000602956046059682,0.000383300623630384,0.000266479823824398,6.30991830866977e-05,642769.971944356
"837",11,14,0.00465792585169638,0.00252927449756357,0.00109320656634497,0.000636034926383164,0.000414336314312601,0.000281986599977249,0.000192096084338619,0.000672512778865287,0.000394278232593838,0.000271220261451357,6.00358944764373e-05,680039.653257788
"838",11,15,0.00439962361880171,0.00253121173743546,0.00112035579339219,0.000658482971835395,0.000431957089827308,0.000295521304031979,0.000202029317258087,0.000741537932755543,0.000404915735314081,0.000275497591522789,5.73205435379205e-05,715413.806798405
"839",11,16,0.00413946410805638,0.00253158791953022,0.00114618758925585,0.000679897257736564,0.000448709629435939,0.000308317040703676,0.000211350626444018,0.000809883276098573,0.000415263352720159,0.000279358860290928,5.49126159035835e-05,749084.344751003
"840",11,17,0.00387760239890153,0.00253019392018231,0.00117077153138108,0.000700359544023786,0.000464667740405724,0.000320438434320049,0.00022011613259619,0.000877464067571533,0.000425357085084786,0.000282840523117434,5.27779565896243e-05,781222.799209772
"841",11,18,0.00361424245181336,0.00252677892092612,0.00119416213241688,0.000719938546504041,0.00047989467724081,0.000331941764930278,0.000228375215281306,0.000944242314170205,0.000435220321466864,0.000285969793715424,5.08871513277652e-05,811983.126409209
"842",11,19,0.0033496490364194,0.00252103959991389,0.00121639960177507,0.000738692074827257,0.000494444889518727,0.000342876175168894,0.000236171309183533,0.00101021404330931,0.000444864598788498,0.000288765429779824,4.9214427418944e-05,841503.935354218
"843",11,20,0.00308416370970157,0.00251260574549825,0.00123750996204711,0.000756668598891264,0.000508365391919601,0.000353284686398815,0.000243542648876652,0.00107539962164329,0.000454289527930527,0.000291237981309396,4.77368545416297e-05,869910.265687395
"844",11,21,0.0028182264097654,0.00250102088058755,0.00125750446854963,0.000773908366349409,0.000521696836377902,0.000363205044740972,0.000250522934442745,0.00113983637016986,0.000463481814200287,0.000293389473665839,4.64337203165613e-05,897315.008306672
"845",11,22,0.0025524049445263,0.00248571585216121,0.00127637819943423,0.000790444145088932,0.000534474344078734,0.000372670419193984,0.000257141910837741,0.00120357289679185,0.000472413187668036,0.000295212432274417,4.52860016527879e-05,923820.033544059
"846",11,23,0.00228743570773328,0.00246597241009332,0.00129410757219256,0.000806301625437469,0.000546728137456764,0.000381709971925494,0.000263425863388196,0.00126666469744189,0.000481036912425192,0.000296688074056489,4.42758743374059e-05,949517.067360054
